# idx_int bit_int post_llr hard
0 0 -81960.57108643 0
1 0 -70806.75180800 0
2 0 -70984.54314991 0
3 0 -59448.51404644 0
4 1 123653.83982808 1
5 0 -48582.82385950 0
6 0 -74574.40182787 0
7 1 80535.23900648 1
8 1 82796.27092292 1
9 0 -36125.26341464 0
10 0 -6993.50250089 0
11 1 114026.62920973 1
12 1 51678.05849577 1
13 1 65255.59013884 1
14 0 -52221.19008204 0
15 0 -71657.85646583 0
16 0 -74750.71065692 0
17 1 39311.15186207 1
18 0 -97263.87810876 0
19 1 54298.44191915 1
20 1 80718.14404412 1
21 1 81358.93084131 1
22 0 -85815.26872318 0
23 0 43364.26515660 1
24 1 43364.26515660 1
25 1 114793.98781270 1
26 0 62624.26439016 1
27 0 -79289.31025583 0
28 1 69576.80442922 1
29 1 88164.16950293 1
30 0 -87627.79350554 0
31 1 6993.50250089 1
32 0 -62551.30832589 0
33 1 56945.50878253 1
34 0 -81179.40554909 0
35 1 62207.36980388 1
36 1 62312.60494171 1
37 1 72681.69677592 1
38 0 -39311.15186207 0
39 1 102446.97489923 1
